Country,Series,Year,NY.GDP.PCAP.CD
Barbados,GDP per capita (current US$),2017,17391.6689084614
Barbados,GDP per capita (current US$),2018,17745.2553725928
Barbados,GDP per capita (current US$),2019,18148.4978451054
Barbados,GDP per capita (current US$),2020,15373.8547035017
Belarus,GDP per capita (current US$),2016,5039.68188628499
Belarus,GDP per capita (current US$),2017,5785.67067254068
Belarus,GDP per capita (current US$),2018,6360.06247301284
Belarus,GDP per capita (current US$),2019,6837.71782606351
Belarus,GDP per capita (current US$),2020,6424.15217642722
Belgium,GDP per capita (current US$),2016,41984.1030335609
Belgium,GDP per capita (current US$),2017,44089.3100875118
Belgium,GDP per capita (current US$),2018,47519.5530968943
Belgium,GDP per capita (current US$),2019,46591.4916067396
Belgium,GDP per capita (current US$),2020,45159.3482229717
Belize,GDP per capita (current US$),2016,4856.97324853112
Belize,GDP per capita (current US$),2017,4945.85769867226
Belize,GDP per capita (current US$),2018,5001.42215663433
Belize,GDP per capita (current US$),2019,5078.80994441772
Belize,GDP per capita (current US$),2020,4115.17700795622
Benin,GDP per capita (current US$),2016,1087.28733148547
Benin,GDP per capita (current US$),2017,1136.59387178448
Benin,GDP per capita (current US$),2018,1241.82529800958
Benin,GDP per capita (current US$),2019,1219.51550596905
Benin,GDP per capita (current US$),2020,1291.04097215441
Bermuda,GDP per capita (current US$),2016,106885.878489327
Bermuda,GDP per capita (current US$),2017,111820.581466347
Bermuda,GDP per capita (current US$),2018,113023.185594268
Bermuda,GDP per capita (current US$),2019,117098.446325474
Bermuda,GDP per capita (current US$),2020,107079.479836627
Bhutan,GDP per capita (current US$),2016,2930.5749227006
Bhutan,GDP per capita (current US$),2017,3286.59674376682
Bhutan,GDP per capita (current US$),2018,3243.47743748718
Bhutan,GDP per capita (current US$),2019,3322.86332871934
Bhutan,GDP per capita (current US$),2020,3000.77932702976
Bolivia,GDP per capita (current US$),2016,3076.65643989367
Bolivia,GDP per capita (current US$),2017,3351.12434384125
Bolivia,GDP per capita (current US$),2018,3548.59078021377
Bolivia,GDP per capita (current US$),2019,3552.06814321502
Bolivia,GDP per capita (current US$),2020,3133.09980321504
Bosnia and Herzegovina,GDP per capita (current US$),2016,4994.97155093444
Bosnia and Herzegovina,GDP per capita (current US$),2017,5394.26894391382
Bosnia and Herzegovina,GDP per capita (current US$),2018,6070.34908129292
Bosnia and Herzegovina,GDP per capita (current US$),2019,6119.76234462222
Bosnia and Herzegovina,GDP per capita (current US$),2020,6079.73828544838
Botswana,GDP per capita (current US$),2016,6982.91749241303
Botswana,GDP per capita (current US$),2017,7296.09214157008
Botswana,GDP per capita (current US$),2018,7503.8785883646
Botswana,GDP per capita (current US$),2019,7203.06422122998
Botswana,GDP per capita (current US$),2020,6404.89993159074
Brazil,GDP per capita (current US$),2016,8710.06328995352
Brazil,GDP per capita (current US$),2017,9928.67589653405
Brazil,GDP per capita (current US$),2018,9151.38173161536
Brazil,GDP per capita (current US$),2019,8897.55296585529
Brazil,GDP per capita (current US$),2020,6796.84454227877
British Virgin Islands,GDP per capita (current US$),2016,
British Virgin Islands,GDP per capita (current US$),2017,
British Virgin Islands,GDP per capita (current US$),2018,
British Virgin Islands,GDP per capita (current US$),2019,
British Virgin Islands,GDP per capita (current US$),2020,
Brunei Darussalam,GDP per capita (current US$),2016,27158.4056535724
Brunei Darussalam,GDP per capita (current US$),2017,28571.608291419
Brunei Darussalam,GDP per capita (current US$),2018,31628.4762566009
Brunei Darussalam,GDP per capita (current US$),2019,31085.9619255901
Brunei Darussalam,GDP per capita (current US$),2020,27442.95382794
Bulgaria,GDP per capita (current US$),2016,7569.47881476759
Bulgaria,GDP per capita (current US$),2017,8366.29322145748
Bulgaria,GDP per capita (current US$),2018,9446.70077185518
Bulgaria,GDP per capita (current US$),2019,9879.26853313318
Bulgaria,GDP per capita (current US$),2020,10079.2033812203
Burkina Faso,GDP per capita (current US$),2016,688.250696258197
Burkina Faso,GDP per capita (current US$),2017,734.996267960528
Burkina Faso,GDP per capita (current US$),2018,804.500537821516
Burkina Faso,GDP per capita (current US$),2019,796.115206827676
Burkina Faso,GDP per capita (current US$),2020,857.932729650223
Burundi,GDP per capita (current US$),2016,260.56522079627
Burundi,GDP per capita (current US$),2017,253.826354063895
Burundi,GDP per capita (current US$),2018,238.783467020173
Burundi,GDP per capita (current US$),2019,228.213589244227
Burundi,GDP per capita (current US$),2020,238.990725856496
Cabo Verde,GDP per capita (current US$),2016,3130.99875340636
Cabo Verde,GDP per capita (current US$),2017,3289.90220261281
Cabo Verde,GDP per capita (current US$),2018,3616.46453749713
Cabo Verde,GDP per capita (current US$),2019,3603.77524058462
Cabo Verde,GDP per capita (current US$),2020,3064.27238842819
Cambodia,GDP per capita (current US$),2016,1269.59149895246
Cambodia,GDP per capita (current US$),2017,1385.26006616114
Cambodia,GDP per capita (current US$),2018,1512.12698889384
Cambodia,GDP per capita (current US$),2019,1643.12138876539
Cambodia,GDP per capita (current US$),2020,1543.66925757282
Cameroon,GDP per capita (current US$),2016,1413.2559568153
Cameroon,GDP per capita (current US$),2017,1469.44749980724
Cameroon,GDP per capita (current US$),2018,1585.24053445546
Cameroon,GDP per capita (current US$),2019,1533.09568807789
Cameroon,GDP per capita (current US$),2020,1537.13021832773
Canada,GDP per capita (current US$),2016,42315.6037056806
Canada,GDP per capita (current US$),2017,45129.3564395662
Canada,GDP per capita (current US$),2018,46454.7433947203
Canada,GDP per capita (current US$),2019,46326.6726375572
Canada,GDP per capita (current US$),2020,43258.176319834
Cayman Islands,GDP per capita (current US$),2016,78471.6287315261
Cayman Islands,GDP per capita (current US$),2017,81513.1630224977
Cayman Islands,GDP per capita (current US$),2018,86059.7392168454
Cayman Islands,GDP per capita (current US$),2019,91392.6425875166
Cayman Islands,GDP per capita (current US$),2020,85082.5268555478
Central African Republic,GDP per capita (current US$),2016,402.191645130502
Central African Republic,GDP per capita (current US$),2017,450.900657858547
Central African Republic,GDP per capita (current US$),2018,475.953813864813
Central African Republic,GDP per capita (current US$),2019,467.908032277798
Central African Republic,GDP per capita (current US$),2020,492.79587119399
Chad,GDP per capita (current US$),2016,693.449767448537
Chad,GDP per capita (current US$),2017,665.948884859102
Chad,GDP per capita (current US$),2018,726.151007088549
Chad,GDP per capita (current US$),2019,709.54004317463
Chad,GDP per capita (current US$),2020,659.270044977801
Channel Islands,GDP per capita (current US$),2016,
Channel Islands,GDP per capita (current US$),2017,
Channel Islands,GDP per capita (current US$),2018,
Channel Islands,GDP per capita (current US$),2019,
Channel Islands,GDP per capita (current US$),2020,
Chile,GDP per capita (current US$),2016,13753.592148512
Chile,GDP per capita (current US$),2017,14998.8170563212
Chile,GDP per capita (current US$),2018,15888.144355398
Chile,GDP per capita (current US$),2019,14741.7144039954
Chile,GDP per capita (current US$),2020,13231.7042069383
China,GDP per capita (current US$),2016,8094.36336675194
China,GDP per capita (current US$),2017,8816.98690451989
China,GDP per capita (current US$),2018,9905.34200389253
China,GDP per capita (current US$),2019,10143.8381719921
China,GDP per capita (current US$),2020,10434.7751874839
Colombia,GDP per capita (current US$),2016,5870.77795724165
Colombia,GDP per capita (current US$),2017,6376.70671552601
Colombia,GDP per capita (current US$),2018,6729.58333198168
Colombia,GDP per capita (current US$),2019,6424.9794924083
Colombia,GDP per capita (current US$),2020,5334.55604233917
Comoros,GDP per capita (current US$),2016,1273.05095200255
Comoros,GDP per capita (current US$),2017,1323.81484301294
Comoros,GDP per capita (current US$),2018,1428.29046324322
Comoros,GDP per capita (current US$),2019,1401.54231196814
Comoros,GDP per capita (current US$),2020,1420.66174747221
"Congo, Dem. Rep.",GDP per capita (current US$),2016,471.318822463486
