DATE,beef,pork
2006-10-01,102.9779,84.5903
2006-11-01,108.0915,84.4194
2006-12-01,105.0006,83.5953
2007-01-01,102.8426,83.5756
2007-02-01,104.4005,83.1729
2007-03-01,100.6709,83.9444
2007-04-01,102.9396,85.1997
2007-05-01,102.6244,86.9714
2007-06-01,104.8291,84.3393
2007-07-01,104.5021,86.9795
2007-08-01,105.1698,86.6641
2007-09-01,102.9591,86.4085
2007-10-01,107.084,89.5184
2007-11-01,106.7565,89.9935
2007-12-01,103.8402,90.7111
2008-01-01,103.5965,93.0206
2008-02-01,100.9938,90.0237
2008-03-01,103.1386,91.3871
2008-04-01,104.3946,91.0123
2008-05-01,106.012,88.3861
2008-06-01,100.2316,88.4043
2008-07-01,102.2612,89.844
2008-08-01,100.5576,86.8238
2008-09-01,101.4126,88.5722
2008-10-01,99.5245,87.4024
2008-11-01,97.3709,86.0568
2008-12-01,96.5603,87.1254
2009-01-01,98.4741,88.0014
2009-02-01,101.5662,89.1309
2009-03-01,100.6514,87.434
2009-04-01,100.7401,89.3385
2009-05-01,102.5936,87.7463
2009-06-01,98.8707,89.6733
2009-07-01,99.9501,90.3716
2009-08-01,99.0913,91.6188
2009-09-01,101.8685,91.5009
2009-10-01,100.6673,88.1225
2009-11-01,99.8097,87.4868
2009-12-01,100.9124,86.3172
2010-01-01,102.6655,84.124
2010-02-01,102.0435,88.2685
2010-03-01,101.8349,88.9869
2010-04-01,103.7262,88.1534
2010-05-01,101.2141,84.5537
2010-06-01,103.1765,90.7863
2010-07-01,103.0805,88.4436
2010-08-01,104.8326,89.4089
2010-09-01,105.844,88.7612
2010-10-01,106.1472,91.0064
2010-11-01,109.128,93.0815
2010-12-01,110.573,92.3158
2011-01-01,107.7157,91.5118
2011-02-01,109.3737,91.9511
2011-03-01,108.0639,92.7231
2011-04-01,105.2989,90.2042
2011-05-01,104.7113,91.7518
2011-06-01,108.3695,92.0736
2011-07-01,104.8748,90.3038
2011-08-01,106.2909,90.1418
2011-09-01,104.1698,92.4236
2011-10-01,103.8962,91.3648
2011-11-01,102.118,91.755
2011-12-01,101.6217,91.2303
2012-01-01,100.0842,89.8531
2012-02-01,98.7766,88.5186
2012-03-01,98.9318,85.8906
2012-04-01,97.7076,88.308
2012-05-01,97.9642,88.6149
2012-06-01,97.0737,83.3704
2012-07-01,98.1117,85.6082
2012-08-01,98.1473,88.1215
2012-09-01,94.2509,90.1744
2012-10-01,96.5662,87.6296
2012-11-01,98.7143,86.3977
2012-12-01,95.4683,85.4036
2013-01-01,98.7717,86.0337
2013-02-01,94.0396,84.7216
2013-03-01,97.7176,87.4953
2013-04-01,97.461,86.2039
2013-05-01,97.8056,86.7459
2013-06-01,98.0601,83.9061
2013-07-01,99.6026,88.6396
2013-08-01,96.681,88.7557
2013-09-01,96.5891,87.1306
2013-10-01,97.0411,88.0273
2013-11-01,95.2789,88.6907
2013-12-01,96.1322,90.0811
2014-01-01,94.9605,88.214
2014-02-01,91.1942,88.9404
